Frequency,Nominal,Min,Max
4,-124.44361003865399,-127.34077829339506,-121.3691632032143
4.093171969123016,-125.03050503692776,-127.94308581060115,-121.93243160486146
4.1885141922035976,-125.62032255996196,-128.5468976144104,-122.49994106515533
4.286077220950425,-126.21274168084211,-129.151854776981,-123.07142527500787
4.385912784572739,-126.80743114207324,-129.75759112334867,-123.6466054401958
4.4880738172078525,-127.40404990748397,-130.36373397602412,-124.22519056372906
4.5926144859875295,-128.00224775999627,-130.96990492723873,-124.8068777816911
4.699590219758116,-128.6016659419539,-131.5757206334551,-125.39135275194225
4.80905773846965,-129.20193783416525,-132.18079362637124,-125.97829009452212
4.921075083249525,-129.80268966931155,-132.78473313437078,-126.567353882047
5.035701647176667,-130.4035412748861,-133.38714590812813,-127.15819817782184
5.152998206772534,-131.00410684040497,-133.98763704389094,-127.75046761883792
5.273026954225627,-131.60399570321053,-134.58581079786225,-128.343798040269
5.395851530366613,-132.2028131468829,-135.1812713850654,-128.93781713751315
5.521537058411538,-132.8001612059526,-135.77362375607987,-129.53214516135074
5.650150178491016,-133.3956394704104,-136.3624743451307,-130.12639564125405
5.781759082983708,-133.9888458833304,-136.94743178315915,-130.72017613146338
5.916433552672827,-134.57937752484045,-137.5281075696758,-131.31308897402798
6.05424499374483,-135.16683137561952,-138.10411669746932,-131.90473207263858
6.195266475649922,-135.75080505314622,-138.67507822449176,-132.49469967079932
6.339572769844451,-136.33089751400345,-139.24061578757843,-133.08258312762234
6.4872403894357165,-136.90670971567639,-139.80035805297214,-133.66797168435716
6.638347629750239,-137.47784523147376,-140.3539390989749,-134.2504532146297
6.792974609846974,-138.04391081242622,-140.90099872638046,-134.82961495132616
6.951203314997498,-138.6045168902699,-141.44118269267943,-135.4050441830191
7.113117640155687,-139.15927801590848,-141.97414286633486,-135.97632891292852
7.278803434439928,-139.70781322802108,-142.49953729767805,-136.54305847346208
7.448348546651464,-140.2497463467864,-143.01703020324203,-137.10482408955906
7.621842871852983,-140.78470618795993,-143.52629186046056,-137.66121938421608
7.799378399032175,-141.31232669279575,-144.02699840981262,-138.21184081977964
7.981049259875512,-141.8322469695041,-144.51883156146957,-138.75628806880957
8.16695177867811,-142.34411124211988,-145.00147820344873,-139.2941643085183
8.35718452341615,-142.84756870272648,-145.47462990806537,-139.82507643301662
8.55184835800892,-143.3422732630165,-145.95546995331446,-140.34863517775872
8.751046495798201,-143.8278832010859,-146.4294721280556,-140.86445515073265
8.954884554273349,-144.30406069917066,-146.89379247093004,-141.37215476502482
9.163470611071082,-144.7704712677388,-147.34815890364888,-141.86944983906832
9.376915261279677,-145.22678305088343,-147.79230288957694,-142.33951483608527
9.59533167607795,-145.6726660073649,-148.22595855446045,-142.79954333487484
9.81883566274011,-146.10779096085037,-148.64886169736573,-143.2491407409252
10.047545726038308,-146.5318285119035,-149.06074868608496,-143.6879114424619
10.281583131075442,-146.94444780304448,-149.46135523005458,-144.1154576968788
10.521071967581513,-147.3453151267008,-149.85041502240807,-144.53137834282586
10.766139215707648,-147.73409236407505,-150.22765824106733,-144.93526732475772
11.01691481335265,-148.110435240796,-150.59280989680826,-145.32671201471132
11.273531725057799,-148.47399138267093,-150.9455880138606,-145.70529131365282
11.536126012506406,-148.8243981518249,-151.28570162586507,-146.07057351179992
11.804836906665525,-149.16128023994665,-151.61284856678208,-146.42211388384035
12.079806881608047,-149.48424699111337,-151.9267130325365,-146.75945199082682
12.361181730054343,-149.79288942169154,-152.22696288474842,-147.0821086556026
12.649110640673497,-150.08677689888404,-152.51324666260192,-147.389582572768
12.94374627718511,-150.36545343248088,-152.78519026271366,-147.68134650725878
13.245244859303622,-150.62843352604943,-153.04239323945146,-147.95684302735526
13.55376624556808,-150.87519752385316,-153.28442466937796,-148.21547970812082
13.869474018101242,-151.10518637792913,-153.510818512979,-148.4566237295235
14.192535569342994,-151.31779574550512,-153.72106839424566,-148.67959577948506
14.523122190804028,-151.51236930981634,-153.91462170349158,-148.8836631552486
14.861409163886874,-151.6881911966529,-154.0908729104504,-149.06803193619498
15.20757585282242,-151.8444773338876,-154.24915595240316,-149.23183807677813
15.561805799771195,-151.9803655706402,-154.38873553492635,-149.3741372385888
15.924286822139859,-152.09490433537306,-154.50879714955155,-149.49389314452878
16.295211112164477,-152.18703956631506,-154.60843557168508,-149.58996419406498
16.674775338813383,-152.25559959103694,-154.68664155149702,-149.66108802466425
17.063180752063673,-152.29927756194988,-154.74228634762466,-149.70586363825737
17.460633289606605,-152.3166109673351,-154.7741036750475,-149.72273062980727
17.867343686038488,-152.3059576286553,-154.7806685400851,-149.7099449537786
18.283527584594964,-152.2654674582279,-154.76037231137127,-149.66555053835094
18.709405651487888,-152.1930490790426,-154.7113932184492,-149.58734590004244
19.145203692905493,-152.08633019026936,-154.6316612692931,-149.4728447145733
19.591152774737807,-151.94261028432547,-154.51881632150477,-149.31922905249172
20.04748934509085,-151.7588039665182,-154.3701577114392,-149.1232936764734
20.51445535965455,-151.53137267288747,-154.18258341752545,-148.88137940357905
20.99229840999086,-151.2562419951815,-153.9525161766784,-148.58929303773155
21.481271854810064,-150.92870106348644,-153.67581324288403,-148.24221074705972
21.981634954304933,-150.54327945404765,-153.34765551651162,-147.83456096287065
22.49365300761391,-150.0935958138283,-152.96241050252567,-146.97401623491746
23.017597493486225,-149.57217073722987,-152.51346186860383,-145.98414220455712
23.553746214223505,-148.97019428665615,-151.9929961262459,-144.84631394500573
